version,p,threads,ranks,rows,cols,iters,T_overall,T_computation,T_other
serial,1,1,1,5000,5000,13,3.891156,3.525660,0.365496
pthreads,1,1,1,5000,5000,13,3.657032,3.263973,0.393059
openmp,1,1,1,5000,5000,13,5.052210,4.655601,0.396609
mpi,1,1,1,5000,5000,13,2.892571,2.490874,0.401697
hybrid,1,1,1,5000,5000,13,3.075040,2.498462,0.576578
pthreads,4,4,1,5000,5000,13,1.202705,0.837855,0.364850
openmp,4,4,1,5000,5000,13,1.557271,1.197569,0.359702
mpi,4,1,4,5000,5000,13,1.050163,0.633840,0.416323
hybrid,4,2,2,5000,5000,13,1.860834,1.251749,0.609085
pthreads,16,16,1,5000,5000,13,0.725806,0.372893,0.352913
openmp,16,16,1,5000,5000,13,1.052419,0.708036,0.344383
mpi,16,1,16,5000,5000,13,0.648551,0.209949,0.438602
hybrid,16,4,4,5000,5000,13,0.858890,0.219698,0.639192
serial,1,1,1,10000,10000,13,15.223750,14.115834,1.107916
pthreads,1,1,1,10000,10000,13,14.359328,13.070882,1.288446
openmp,1,1,1,10000,10000,13,19.783082,18.636384,1.146698
mpi,1,1,1,10000,10000,13,15.788172,10.006455,5.781717
hybrid,1,1,1,10000,10000,13,11.633607,9.984313,1.649294
pthreads,4,4,1,10000,10000,13,4.582769,3.314941,1.267828
openmp,4,4,1,10000,10000,13,5.935239,4.774748,1.160491
mpi,4,1,4,10000,10000,13,4.125568,2.532499,1.593069
hybrid,4,2,2,10000,10000,13,6.709846,5.005948,1.703898
pthreads,16,16,1,10000,10000,13,2.554474,1.046218,1.508256
openmp,16,16,1,10000,10000,13,2.534017,1.401913,1.132104
mpi,16,1,16,10000,10000,13,2.096800,0.684112,1.412688
hybrid,16,4,4,10000,10000,13,2.451007,0.730197,1.720810
